day,date,dose_mGy_day,H_mSv_day,source
63,2012-01-28,1.7068,4.6141,Zeitlin_2013_reconstructed
64,2012-01-29,2.0947,5.3907,Zeitlin_2013_reconstructed
65,2012-01-30,2.1983,5.8397,Zeitlin_2013_reconstructed
66,2012-01-31,1.9203,4.9872,Zeitlin_2013_reconstructed
67,2012-02-01,2.1267,5.5863,Zeitlin_2013_reconstructed
68,2012-02-02,2.001,5.3866,Zeitlin_2013_reconstructed
69,2012-02-03,1.8052,4.5259,Zeitlin_2013_reconstructed
70,2012-02-04,1.9978,5.769,Zeitlin_2013_reconstructed
71,2012-02-05,2.223,5.5188,Zeitlin_2013_reconstructed
72,2012-02-06,1.9182,4.7101,Zeitlin_2013_reconstructed
73,2012-02-07,2.2246,6.1521,Zeitlin_2013_reconstructed
74,2012-02-08,1.4186,3.8551,Zeitlin_2013_reconstructed
75,2012-02-09,2.0784,5.6029,Zeitlin_2013_reconstructed
76,2012-02-10,1.9358,5.2194,Zeitlin_2013_reconstructed
77,2012-02-11,1.8602,4.8599,Zeitlin_2013_reconstructed
78,2012-02-12,1.9336,4.828,Zeitlin_2013_reconstructed
79,2012-02-13,1.534,4.0253,Zeitlin_2013_reconstructed
80,2012-02-14,1.871,4.7254,Zeitlin_2013_reconstructed
81,2012-02-15,1.9798,5.4277,Zeitlin_2013_reconstructed
82,2012-02-16,2.1923,5.6887,Zeitlin_2013_reconstructed
83,2012-02-17,1.8096,4.5352,Zeitlin_2013_reconstructed
84,2012-02-18,1.7528,4.5084,Zeitlin_2013_reconstructed
85,2012-02-19,1.8098,4.8288,Zeitlin_2013_reconstructed
86,2012-02-20,2.0782,5.2796,Zeitlin_2013_reconstructed
87,2012-02-21,1.965,4.9255,Zeitlin_2013_reconstructed
88,2012-02-22,1.8002,4.7633,Zeitlin_2013_reconstructed
89,2012-02-23,1.9969,5.284,Zeitlin_2013_reconstructed
90,2012-02-24,1.9163,4.8825,Zeitlin_2013_reconstructed
91,2012-02-25,2.08,5.3095,Zeitlin_2013_reconstructed
92,2012-02-26,1.7618,4.6591,Zeitlin_2013_reconstructed
93,2012-02-27,1.8313,4.4406,Zeitlin_2013_reconstructed
94,2012-02-28,1.8176,4.4172,Zeitlin_2013_reconstructed
95,2012-02-29,1.6137,4.0668,Zeitlin_2013_reconstructed
96,2012-03-01,1.9447,5.0295,Zeitlin_2013_reconstructed
97,2012-03-02,1.9365,5.1411,Zeitlin_2013_reconstructed
98,2012-03-03,1.8867,5.296,Zeitlin_2013_reconstructed
99,2012-03-04,1.84,5.0164,Zeitlin_2013_reconstructed
100,2012-03-05,1.6163,4.1913,Zeitlin_2013_reconstructed
101,2012-03-06,1.8021,4.7064,Zeitlin_2013_reconstructed
102,2012-03-07,1.8153,4.5075,Zeitlin_2013_reconstructed
103,2012-03-08,1.7275,4.5117,Zeitlin_2013_reconstructed
104,2012-03-09,1.8464,4.7571,Zeitlin_2013_reconstructed
105,2012-03-10,5.8528,23.3202,Zeitlin_2013_reconstructed
106,2012-03-11,6.6811,25.1145,Zeitlin_2013_reconstructed
107,2012-03-12,1.9048,5.1087,Zeitlin_2013_reconstructed
108,2012-03-13,1.9188,5.4004,Zeitlin_2013_reconstructed
109,2012-03-14,1.8552,4.8233,Zeitlin_2013_reconstructed
110,2012-03-15,1.5092,4.0246,Zeitlin_2013_reconstructed
111,2012-03-16,1.8611,5.0331,Zeitlin_2013_reconstructed
112,2012-03-17,1.8758,4.8052,Zeitlin_2013_reconstructed
113,2012-03-18,2.322,6.1379,Zeitlin_2013_reconstructed
114,2012-03-19,1.8257,4.7757,Zeitlin_2013_reconstructed
115,2012-03-20,1.9161,5.0334,Zeitlin_2013_reconstructed
116,2012-03-21,1.852,4.6544,Zeitlin_2013_reconstructed
117,2012-03-22,1.64,4.2923,Zeitlin_2013_reconstructed
118,2012-03-23,2.0675,5.5393,Zeitlin_2013_reconstructed
119,2012-03-24,1.9934,5.589,Zeitlin_2013_reconstructed
120,2012-03-25,1.999,5.4762,Zeitlin_2013_reconstructed
121,2012-03-26,1.6826,4.8721,Zeitlin_2013_reconstructed
122,2012-03-27,2.1088,5.3013,Zeitlin_2013_reconstructed
123,2012-03-28,1.5889,4.3346,Zeitlin_2013_reconstructed
124,2012-03-29,1.9547,5.1568,Zeitlin_2013_reconstructed
125,2012-03-30,2.249,6.5228,Zeitlin_2013_reconstructed
126,2012-03-31,1.6608,4.166,Zeitlin_2013_reconstructed
127,2012-04-01,1.7375,4.3514,Zeitlin_2013_reconstructed
128,2012-04-02,1.8587,4.7132,Zeitlin_2013_reconstructed
129,2012-04-03,1.7462,4.0801,Zeitlin_2013_reconstructed
130,2012-04-04,1.5524,3.9515,Zeitlin_2013_reconstructed
131,2012-04-05,1.8484,4.6485,Zeitlin_2013_reconstructed
132,2012-04-06,1.6394,4.3179,Zeitlin_2013_reconstructed
133,2012-04-07,1.9196,5.1037,Zeitlin_2013_reconstructed
134,2012-04-08,1.6629,4.7547,Zeitlin_2013_reconstructed
135,2012-04-09,2.1133,5.787,Zeitlin_2013_reconstructed
136,2012-04-10,1.685,4.2778,Zeitlin_2013_reconstructed
137,2012-04-11,1.7679,4.4138,Zeitlin_2013_reconstructed
138,2012-04-12,1.9737,5.2863,Zeitlin_2013_reconstructed
139,2012-04-13,1.5992,3.9046,Zeitlin_2013_reconstructed
140,2012-04-14,1.8636,5.3178,Zeitlin_2013_reconstructed
141,2012-04-15,2.0586,5.6989,Zeitlin_2013_reconstructed
142,2012-04-16,1.5267,3.8974,Zeitlin_2013_reconstructed
143,2012-04-17,1.8512,4.4247,Zeitlin_2013_reconstructed
144,2012-04-18,1.8633,5.2006,Zeitlin_2013_reconstructed
145,2012-04-19,1.9564,5.0851,Zeitlin_2013_reconstructed
146,2012-04-20,1.5888,4.4104,Zeitlin_2013_reconstructed
147,2012-04-21,1.5723,3.7826,Zeitlin_2013_reconstructed
148,2012-04-22,1.9045,4.8294,Zeitlin_2013_reconstructed
149,2012-04-23,1.8622,4.8694,Zeitlin_2013_reconstructed
150,2012-04-24,1.8523,4.8535,Zeitlin_2013_reconstructed
151,2012-04-25,1.868,4.7734,Zeitlin_2013_reconstructed
152,2012-04-26,1.6813,4.532,Zeitlin_2013_reconstructed
153,2012-04-27,1.8443,4.564,Zeitlin_2013_reconstructed
154,2012-04-28,1.8537,4.8114,Zeitlin_2013_reconstructed
155,2012-04-29,10.0254,39.5479,Zeitlin_2013_reconstructed
156,2012-04-30,12.8003,51.4833,Zeitlin_2013_reconstructed
157,2012-05-01,1.8815,5.0936,Zeitlin_2013_reconstructed
158,2012-05-02,1.5811,3.9007,Zeitlin_2013_reconstructed
159,2012-05-03,1.9111,4.6127,Zeitlin_2013_reconstructed
160,2012-05-04,1.6172,4.4977,Zeitlin_2013_reconstructed
161,2012-05-05,1.9313,5.1325,Zeitlin_2013_reconstructed
162,2012-05-06,1.9961,5.0228,Zeitlin_2013_reconstructed
163,2012-05-07,1.6406,4.6215,Zeitlin_2013_reconstructed
164,2012-05-08,1.9578,5.1477,Zeitlin_2013_reconstructed
165,2012-05-09,1.8579,5.1433,Zeitlin_2013_reconstructed
166,2012-05-10,1.9293,5.0606,Zeitlin_2013_reconstructed
167,2012-05-11,2.1191,6.1105,Zeitlin_2013_reconstructed
168,2012-05-12,1.7361,4.9367,Zeitlin_2013_reconstructed
169,2012-05-13,1.6442,4.2447,Zeitlin_2013_reconstructed
170,2012-05-14,1.6187,4.437,Zeitlin_2013_reconstructed
171,2012-05-15,1.6304,4.3996,Zeitlin_2013_reconstructed
172,2012-05-16,1.76,4.9158,Zeitlin_2013_reconstructed
173,2012-05-17,1.8326,4.5596,Zeitlin_2013_reconstructed
174,2012-05-18,1.8197,4.92,Zeitlin_2013_reconstructed
175,2012-05-19,1.9155,5.2723,Zeitlin_2013_reconstructed
176,2012-05-20,1.7699,4.22,Zeitlin_2013_reconstructed
177,2012-05-21,2.0228,4.9751,Zeitlin_2013_reconstructed
178,2012-05-22,1.7179,4.0329,Zeitlin_2013_reconstructed
179,2012-05-23,2.2427,5.7837,Zeitlin_2013_reconstructed
180,2012-05-24,1.8718,5.0687,Zeitlin_2013_reconstructed
181,2012-05-25,1.6092,4.5227,Zeitlin_2013_reconstructed
182,2012-05-26,1.5702,4.12,Zeitlin_2013_reconstructed
183,2012-05-27,1.8418,5.2068,Zeitlin_2013_reconstructed
184,2012-05-28,1.7163,4.177,Zeitlin_2013_reconstructed
185,2012-05-29,1.8792,4.4942,Zeitlin_2013_reconstructed
186,2012-05-30,1.8354,4.7847,Zeitlin_2013_reconstructed
187,2012-05-31,1.7382,4.6312,Zeitlin_2013_reconstructed
188,2012-06-01,1.6013,4.1792,Zeitlin_2013_reconstructed
189,2012-06-02,1.4832,3.4764,Zeitlin_2013_reconstructed
190,2012-06-03,1.6685,4.3421,Zeitlin_2013_reconstructed
191,2012-06-04,1.8944,4.6291,Zeitlin_2013_reconstructed
192,2012-06-05,1.7807,4.8109,Zeitlin_2013_reconstructed
193,2012-06-06,1.5249,4.0593,Zeitlin_2013_reconstructed
194,2012-06-07,1.7705,4.4109,Zeitlin_2013_reconstructed
195,2012-06-08,1.8059,4.5995,Zeitlin_2013_reconstructed
196,2012-06-09,1.5838,3.921,Zeitlin_2013_reconstructed
197,2012-06-10,1.7625,4.593,Zeitlin_2013_reconstructed
198,2012-06-11,1.7444,4.7779,Zeitlin_2013_reconstructed
199,2012-06-12,1.5348,3.8143,Zeitlin_2013_reconstructed
200,2012-06-13,1.7932,4.8059,Zeitlin_2013_reconstructed
201,2012-06-14,1.8268,4.6488,Zeitlin_2013_reconstructed
202,2012-06-15,1.9154,4.8087,Zeitlin_2013_reconstructed
203,2012-06-16,1.9087,4.9629,Zeitlin_2013_reconstructed
204,2012-06-17,1.4876,3.6874,Zeitlin_2013_reconstructed
205,2012-06-18,1.5621,3.9704,Zeitlin_2013_reconstructed
206,2012-06-19,1.8109,4.4504,Zeitlin_2013_reconstructed
207,2012-06-20,1.8091,5.1938,Zeitlin_2013_reconstructed
208,2012-06-21,1.8077,4.734,Zeitlin_2013_reconstructed
209,2012-06-22,2.3794,6.0025,Zeitlin_2013_reconstructed
210,2012-06-23,1.8141,4.7931,Zeitlin_2013_reconstructed
211,2012-06-24,1.9093,4.9632,Zeitlin_2013_reconstructed
212,2012-06-25,1.8766,4.8513,Zeitlin_2013_reconstructed
213,2012-06-26,1.8231,4.9122,Zeitlin_2013_reconstructed
214,2012-06-27,1.6562,4.4934,Zeitlin_2013_reconstructed
215,2012-06-28,1.8383,4.678,Zeitlin_2013_reconstructed
216,2012-06-29,1.5751,3.9991,Zeitlin_2013_reconstructed
217,2012-06-30,1.6652,4.2931,Zeitlin_2013_reconstructed
218,2012-07-01,1.6213,3.7505,Zeitlin_2013_reconstructed
219,2012-07-02,1.7165,4.1471,Zeitlin_2013_reconstructed
220,2012-07-03,2.0947,5.8501,Zeitlin_2013_reconstructed
221,2012-07-04,1.3821,3.9103,Zeitlin_2013_reconstructed
222,2012-07-05,1.8145,4.6843,Zeitlin_2013_reconstructed
223,2012-07-06,1.4229,3.8268,Zeitlin_2013_reconstructed
224,2012-07-07,1.615,4.2874,Zeitlin_2013_reconstructed
225,2012-07-08,1.8778,5.6646,Zeitlin_2013_reconstructed
226,2012-07-09,1.7028,4.7005,Zeitlin_2013_reconstructed
227,2012-07-10,1.5082,3.9175,Zeitlin_2013_reconstructed
228,2012-07-11,1.5681,3.9033,Zeitlin_2013_reconstructed
229,2012-07-12,1.802,4.3324,Zeitlin_2013_reconstructed
230,2012-07-13,1.5627,4.1267,Zeitlin_2013_reconstructed
231,2012-07-14,1.7208,4.3283,Zeitlin_2013_reconstructed
232,2012-07-15,1.6905,4.1049,Zeitlin_2013_reconstructed
233,2012-07-16,1.5718,3.976,Zeitlin_2013_reconstructed
234,2012-07-17,2.0399,5.0443,Zeitlin_2013_reconstructed
235,2012-07-18,1.7847,5.0589,Zeitlin_2013_reconstructed
236,2012-07-19,1.3372,3.6497,Zeitlin_2013_reconstructed
237,2012-07-20,1.7065,4.4592,Zeitlin_2013_reconstructed
238,2012-07-21,1.563,4.3882,Zeitlin_2013_reconstructed
239,2012-07-22,1.8148,4.7624,Zeitlin_2013_reconstructed
240,2012-07-23,1.5383,3.8482,Zeitlin_2013_reconstructed
241,2012-07-24,1.65,4.6419,Zeitlin_2013_reconstructed
242,2012-07-25,1.7519,4.7031,Zeitlin_2013_reconstructed
243,2012-07-26,1.8104,4.4872,Zeitlin_2013_reconstructed
244,2012-07-27,1.4649,3.7929,Zeitlin_2013_reconstructed
245,2012-07-28,1.6075,4.0183,Zeitlin_2013_reconstructed
246,2012-07-29,1.5827,3.8514,Zeitlin_2013_reconstructed
247,2012-07-30,1.5517,4.2441,Zeitlin_2013_reconstructed
248,2012-07-31,1.9514,5.5883,Zeitlin_2013_reconstructed
249,2012-08-01,1.7242,4.1921,Zeitlin_2013_reconstructed
250,2012-08-02,1.4468,3.8886,Zeitlin_2013_reconstructed
251,2012-08-03,1.8059,4.5672,Zeitlin_2013_reconstructed
252,2012-08-04,2.0032,5.1092,Zeitlin_2013_reconstructed
